"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Позитивная проверка заполнения информации для оформления заказа","1044","Успешное заполнение информации для оформления заказа","Surefire suite","2026-07-11","passed","2026-07-11","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка входа в систему с позитивными кредами","438","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-11","passed","2026-07-11","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","474","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-11","passed","2026-07-11","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","944","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-11","passed","2026-07-11","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка добавления и удаления товаров из корзины","12610","Добавление и удаление товаров из корзины","Surefire suite","2026-07-11","passed","2026-07-11","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","986","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-11","passed","2026-07-11","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка удаления товара из корзины","10799","Удаление товара из корзины","Surefire suite","2026-07-11","passed","2026-07-11","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка входа в систему с позитивными кредами","505","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-07-11","passed","2026-07-11","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка входа в систему с позитивными кредами","452","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-11","passed","2026-07-11","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","737","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-07-11","passed","2026-07-11","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка входа в систему с позитивными кредами","448","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-11","passed","2026-07-11","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","952","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-11","passed","2026-07-11","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"","698","checkLocator","Surefire suite","2026-07-11","passed","2026-07-11","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
